Name,GlobalParcelle,Parcelle,Barber,Sexe,BioConv,Mcentroid,Ecentroid
ind1,A,A1,A1B1,f,Bio,2473,2430
ind2,A,A1,A1B1,m,Bio,2464,2687
ind3,A,A1,A1B1,f,Bio,2566,3045
ind4,A,A1,A1B1,m,Bio,2673,2089
ind5,A,A1,A1B2,f,Bio,2528,2635
ind6,A,A1,A1B2,m,Bio,2423,2948
ind7,A,A1,A1B2,f,Bio,2522,2486
ind8,A,A1,A1B2,m,Bio,2541,2459
ind9,A,A2,A2B1,f,Conv,2533,3363
ind10,A,A2,A2B1,m,Conv,2382,2330
ind11,A,A2,A2B1,f,Conv,2922,3500
ind12,A,A2,A2B1,m,Conv,2490,2724
ind13,A,A2,A2B2,f,Conv,2529,2459
ind14,A,A2,A2B2,m,Conv,2273,2230
ind15,A,A2,A2B2,f,Conv,2637,2639
ind16,A,A2,A2B2,m,Conv,2440,2496
ind17,B,B3,B3B1,f,Bio,2436,2891
ind18,B,B3,B3B1,m,Bio,2404,2623
ind19,B,B3,B3B1,f,Bio,2603,2573
ind20,B,B3,B3B1,m,Bio,2595,2516
ind21,B,B3,B3B2,f,Bio,2771,2811
ind22,B,B3,B3B2,m,Bio,2551,2534
ind23,B,B3,B3B2,f,Bio,2454,2559
ind24,B,B3,B3B2,m,Bio,2487,2403
ind25,B,B4,B4B1,m,Conv,2501,2379
ind26,B,B4,B4B2,m,Conv,2395,2378
ind27,B,B4,B4B1,f,Conv,2546,2629
ind28,B,B4,B4B2,m,Conv,2491,2491
ind29,C,C5,C5B1,f,Bio,2321,3375
ind30,C,C5,C5B1,m,Bio,2533,2545
ind31,C,C5,C5B1,f,Bio,2685,2722
ind32,C,C5,C5B1,m,Bio,2448,2452
ind33,C,C5,C5B2,f,Bio,2771,2709
ind34,C,C5,C5B2,m,Bio,2423,2287
ind35,C,C5,C5B2,f,Bio,2712,2620
ind36,C,C5,C5B2,m,Bio,2595,2425
ind37,C,C6,C6B1,f,Conv,2774,2767
ind38,C,C6,C6B2,m,Conv,2430,3029
ind39,C,C6,C6B1,f,Conv,2789,2957
ind40,C,C6,C6B2,m,Conv,2422,2280
