Name,GlobalParcelle,Parcelle,Barber,Sexe,BioConv,Mcentroid,Ecentroid
ind1,A,A1,A1B1,f,Bio,2557,2954
ind2,A,A1,A1B1,m,Bio,2432,2538
ind3,A,A1,A1B1,f,Bio,2127,2468
ind4,A,A1,A1B1,m,Bio,2464,2529
ind5,A,A1,A1B2,f,Bio,2561,2651
ind6,A,A1,A1B2,m,Bio,2416,2635
ind7,A,A1,A1B2,f,Bio,2601,2501
ind8,A,A1,A1B2,m,Bio,2411,2602
ind9,A,A2,A2B1,f,Conv,2658,2682
ind10,A,A2,A2B1,m,Conv,2346,2707
ind11,A,A2,A2B1,f,Conv,2867,3406
ind12,A,A2,A2B1,m,Conv,2411,2738
ind13,A,A2,A2B2,f,Conv,2459,2523
ind14,A,A2,A2B2,m,Conv,2384,3067
ind15,A,A2,A2B2,f,Conv,2592,2581
ind16,A,A2,A2B2,m,Conv,2328,2597
ind17,B,B3,B3B1,f,Bio,2394,2416
ind18,B,B3,B3B1,m,Bio,2381,3151
ind19,B,B3,B3B1,f,Bio,2554,2737
ind20,B,B3,B3B1,m,Bio,2558,2761
ind21,B,B3,B3B2,f,Bio,2741,2847
ind22,B,B3,B3B2,m,Bio,2456,2544
ind23,B,B3,B3B2,f,Bio,2447,2895
ind24,B,B3,B3B2,m,Bio,2473,2535
ind25,B,B4,B4B1,m,Conv,2495,2583
ind26,B,B4,B4B2,m,Conv,2365,2395
ind27,B,B4,B4B1,f,Conv,2569,2577
ind28,B,B4,B4B2,m,Conv,2476,2476
ind29,C,C5,C5B1,f,Bio,2322,2486
ind30,C,C5,C5B1,m,Bio,2460,2842
ind31,C,C5,C5B1,f,Bio,2621,3347
ind32,C,C5,C5B1,m,Bio,2397,2473
ind33,C,C5,C5B2,f,Bio,2736,2982
ind34,C,C5,C5B2,m,Bio,2359,2349
ind35,C,C5,C5B2,f,Bio,2698,2692
ind36,C,C5,C5B2,m,Bio,2538,2564
ind37,C,C6,C6B1,f,Conv,2742,2773
ind38,C,C6,C6B2,m,Conv,2461,2575
ind39,C,C6,C6B1,f,Conv,2676,2744
ind40,C,C6,C6B2,m,Conv,2139,2192
ind41,D,D7,D7B1,f,Bio,2563,2638
ind42,D,D7,D7B1,m,Bio,2575,2611
ind43,D,D7,D7B1,f,Bio,2611,2890
ind44,D,D7,D7B1,m,Bio,2419,2572
ind45,D,D7,D7B2,f,Bio,2440,2440
ind46,D,D7,D7B2,m,Bio,2359,2995
ind47,D,D7,D7B2,f,Bio,2236,2381
ind48,D,D7,D7B2,m,Bio,2471,2468
ind49,D,D8,D8B1,f,Conv,2654,3146
ind50,D,D8,D8B1,m,Conv,2558,2777
ind51,D,D8,D8B1,f,Conv,2581,2837
ind52,D,D8,D8B1,m,Conv,2373,2703
ind53,D,D8,D8B2,f,Conv,2507,2615
ind54,D,D8,D8B2,m,Conv,2445,2822
ind55,D,D8,D8B2,f,Conv,2773,3211
ind56,D,D8,D8B2,m,Conv,2397,2398
ind57,E,E9,E9B1,f,Bio,2522,2674
ind58,E,E9,E9B1,m,Bio,2469,2646
ind59,E,E9,E9B1,f,Bio,2676,2827
ind60,E,E9,E9B1,m,Bio,2563,2591
ind61,E,E9,E9B2,f,Bio,2513,2765
ind62,E,E9,E9B2,m,Bio,2587,2677
ind63,E,E9,E9B2,f,Bio,2554,2659
ind64,E,E9,E9B2,m,Bio,2492,2505
ind65,E,E10,E10B1,f,Conv,2365,2362
ind66,E,E10,E10B1,m,Conv,1910,3040
ind67,E,E10,E10B1,f,Conv,2644,2748
ind68,E,E10,E10B1,m,Conv,2571,2909
ind69,E,E10,E10B2,f,Conv,2549,2668
ind70,E,E10,E10B2,m,Conv,2429,2527
ind71,E,E10,E10B2,f,Conv,2464,2669
ind72,E,E10,E10B2,m,Conv,2529,2843
ind73,F,F11,F11B1,f,Bio,2365,2409
ind74,F,F11,F11B1,m,Bio,2357,2565
ind75,F,F11,F11B1,f,Bio,2216,2132
ind76,F,F11,F11B1,m,Bio,2244,2456
ind77,F,F11,F11B2,f,Bio,2518,2552
ind78,F,F11,F11B2,m,Bio,2255,2632
ind79,F,F11,F11B2,f,Bio,2599,2911
ind80,F,F11,F11B2,m,Bio,2531,2881
ind81,F,F12,F12B1,f,Conv,2696,2618
ind82,F,F12,F12B1,m,Conv,2536,2850
ind83,F,F12,F12B1,f,Conv,2538,3044
ind84,F,F12,F12B1,m,Conv,2490,2617
ind85,F,F12,F12B2,f,Conv,2482,2963
ind86,F,F12,F12B2,m,Conv,2404,2708
ind87,F,F12,F12B2,f,Conv,2480,2466
ind88,F,F12,F12B2,m,Conv,2543,2775
ind89,G,G13,G13B1,f,Bio,2625,2862
ind90,G,G13,G13B1,m,Bio,2555,3362
ind91,G,G13,G13B1,f,Bio,2628,2691
ind92,G,G13,G13B1,m,Bio,2451,2475
ind93,G,G13,G13B2,f,Bio,2513,2541
ind94,G,G13,G13B2,m,Bio,2337,2934
ind95,G,G13,G13B2,f,Bio,2439,2865
ind96,G,G13,G13B2,m,Bio,2555,2528
ind97,G,G14,G14B1,f,Conv,2657,3236
ind98,G,G14,G14B1,m,Conv,2342,2525
ind99,G,G14,G14B1,f,Conv,2838,3132
ind100,G,G14,G14B1,m,Conv,2607,2843
ind101,G,G14,G14B2,f,Conv,2543,2528
ind102,G,G14,G14B2,m,Conv,2561,2550
ind103,G,G14,G14B2,f,Conv,2645,2627
ind104,G,G14,G14B2,m,Conv,2561,2577
ind105,H,H15,H15B1,f,Bio,2586,2715
ind106,H,H15,H15B1,m,Bio,2492,2533
ind107,H,H15,H15B1,f,Bio,2507,2708
ind108,H,H15,H15B1,m,Bio,2642,2657
ind109,H,H15,H15B2,f,Bio,2569,2666
ind110,H,H15,H15B2,m,Bio,2401,2413
ind111,H,H15,H15B2,f,Bio,2456,2607
ind112,H,H15,H15B2,m,Bio,2502,2520
ind113,H,H16,H16B1,f,Conv,2679,2636
ind114,H,H16,H16B1,m,Conv,2443,2422
ind115,H,H16,H16B2,f,Conv,2364,2674
ind116,H,H16,H16B2,m,Conv,2270,2362
ind117,H,H16,H16B2,f,Conv,2612,2692
ind118,H,H16,H16B2,m,Conv,2491,2675
ind119,I,I17,I17B1,f,Bio,2580,2887
ind120,I,I17,I17B1,m,Bio,2340,2384
ind121,I,I17,I17B1,f,Bio,2529,2674
ind122,I,I17,I17B2,m,Bio,2470,2465
ind123,I,I17,I17B2,f,Bio,2396,2396
ind124,I,I17,I17B2,m,Bio,2231,2221
ind125,I,I17,I17B2,f,Bio,2657,2737
ind126,I,I18,I18B1,m,Conv,2567,2695
ind127,I,I18,I18B1,f,Conv,2604,2657
ind128,I,I18,I18B1,m,Conv,2476,2475
ind129,I,I18,I18B1,f,Conv,2618,2626
ind130,I,I18,I19B2,m,Conv,2512,2725
ind131,I,I18,I18B2,f,Conv,2514,2744
ind132,I,I18,I18B2,m,Conv,2346,2757
ind133,I,I18,I18B2,f,Conv,2309,2751
ind134,J,J19,J19B1,m,Bio,2284,1897
ind135,J,J19,J19B1,f,Bio,2513,2570
ind136,J,J19,J19B1,m,Bio,2457,2588
ind137,J,J19,J19B1,f,Bio,2490,2566
ind138,J,J19,J19B2,m,Bio,2252,2362
ind139,J,J19,J19B2,f,Bio,2622,2671
ind140,J,J19,J19B2,m,Bio,2407,2656
ind141,J,J19,J19B2,f,Bio,2609,2887
ind142,J,J20,J20B1,m,Conv,2546,2525
ind143,J,J20,J20B1,f,Conv,2592,2726
ind144,J,J20,J20B1,m,Conv,2155,2267
ind145,J,J20,J20B1,f,Conv,2156,2824
ind146,J,J20,J20B2,m,Conv,2370,2579
ind147,J,J20,J20B2,f,Conv,2507,2918
ind148,J,J20,J20B2,m,Conv,2577,2885
ind149,J,J20,J20B2,f,Conv,2561,2217
ind150,K,K21,K21B1,m,Bio,2232,3149
ind151,K,K21,K21B1,f,Bio,2492,2580
ind152,K,K21,K21B1,m,Bio,2232,2534
ind153,K,K21,K21B1,f,Bio,2473,2784
ind154,K,K21,K21B2,m,Bio,2574,2658
ind155,K,K21,K21B2,f,Bio,2799,2979
ind156,K,K21,K21B2,m,Bio,2613,3195
ind157,K,K21,K21B2,f,Bio,2595,2695
ind158,K,K22,K22B1,m,Conv,2619,2626
ind159,K,K22,K22B1,f,Conv,1251,1938
ind160,K,K22,K22B2,m,Conv,2426,2864
ind161,K,K22,K22B1,f,Conv,2595,2945
ind162,K,K22,K22B2,m,Conv,2604,3628
ind163,K,K22,K22B2,f,Conv,2700,3192
ind164,L,L23,L23B1,m,Bio,2503,3001
ind165,L,L23,L23B1,f,Bio,2453,2469
ind166,L,L23,L23B1,m,Bio,2519,3265
ind167,L,L23,L23B1,f,Bio,2742,2949
ind168,L,L23,L23B2,m,Bio,2562,3300
ind169,L,L23,L23B2,f,Bio,2523,2762
ind170,L,L23,L23B2,m,Bio,2415,2537
ind171,L,L23,L23B2,f,Bio,2394,2556
ind172,L,L24,L24B1,m,Conv,2676,2469
ind173,L,L24,L24B1,f,Conv,2731,2871
ind174,L,L24,L24B1,m,Conv,2383,2421
ind175,L,L24,L24B1,f,Conv,2665,3001
ind176,L,L24,L24B2,m,Conv,2466,3110
ind177,L,L24,L24B2,f,Conv,2528,2470
ind178,L,L24,L24B2,m,Conv,2485,2555
ind179,L,L24,L24B2,f,Conv,2652,3468
ind180,M,M25,M25B1,m,Bio,2604,3193
ind181,M,M25,M25B1,f,Bio,2776,2829
ind182,M,M25,M25B1,m,Bio,2579,2739
ind183,M,M25,M25B1,f,Bio,2610,2525
ind184,M,M25,M25B2,m,Bio,2362,2776
ind185,M,M25,M25B2,f,Bio,2693,2827
ind186,M,M25,M25B2,m,Bio,2535,2607
ind187,M,M25,M25B2,f,Bio,2350,2879
ind188,M,M26,M26B1,m,Conv,2462,2558
ind189,M,M26,M26B1,f,Conv,2587,2927
ind190,M,M26,M26B1,m,Conv,2580,2833
ind191,M,M26,M26B1,f,Conv,2729,3431
ind192,M,M26,M26B2,m,Conv,2455,2562
ind193,M,M26,M26B2,f,Conv,2497,3445
ind194,M,M26,M26B2,m,Conv,2376,2929
ind195,M,M26,M26B2,f,Conv,2436,3144
ind196,N,N27,N27B1,m,Bio,2528,2896
ind197,N,N27,N27B1,f,Bio,2431,2714
ind198,N,N27,N27B1,m,Bio,2416,2673
ind199,N,N27,N27B1,f,Bio,2414,3603
ind200,N,N27,N27B2,m,Bio,2623,2918
ind201,N,N27,N27B2,f,Bio,2687,2986
ind202,N,N27,N27B2,m,Bio,2555,3213
ind203,N,N27,N27B2,f,Bio,2699,3516
ind204,N,N28,N28B1,m,Conv,2178,2227
ind205,N,N28,N28B1,f,Conv,2567,2659
ind206,N,N28,N28B1,m,Conv,2515,2566
ind207,N,N28,N28B1,f,Conv,2414,2732
ind208,N,N28,N28B2,m,Conv,2399,2457
ind209,N,N28,N28B2,f,Conv,2652,2724
ind210,N,N28,N28B2,m,Conv,2397,2600
ind211,N,N28,N28B2,f,Conv,2660,3145
ind212,O,O29,O29B1,m,Bio,2610,2711
ind213,O,O29,O29B1,f,Bio,2656,3088
ind214,O,O29,O29B1,m,Bio,2558,2563
ind215,O,O29,O29B1,f,Bio,2606,2947
ind216,O,O29,O29B2,m,Bio,2546,2693
ind217,O,O29,O29B2,f,Bio,2498,3059
ind218,O,O29,O29B2,m,Bio,2436,2568
ind219,O,O29,O29B2,f,Bio,2369,2836
ind220,O,O30,O30B1,m,Conv,2325,3098
ind221,O,O30,O30B1,f,Conv,2487,2905
ind222,O,O30,O30B1,m,Conv,2467,2816
ind223,O,O30,O30B1,f,Conv,2601,3138
ind224,O,O30,O30B2,m,Conv,2657,2789
ind225,O,O30,O30B2,f,Conv,2749,2590
