Name,GlobalParcelle,Parcelle,Barber,Sexe,BioConv,Mcentroid,Ecentroid,Ecentroid2
ind1,A,A1,A1B1,f,Bio,2557,2558,2570
ind2,A,A1,A1B1,m,Bio,2432,2461,2474
ind3,A,A1,A1B1,f,Bio,2127,0,0
ind4,A,A1,A1B1,m,Bio,2464,2406,2436
ind5,A,A1,A1B2,f,Bio,2561,2651,2767
ind6,A,A1,A1B2,m,Bio,2416,2406,2761
ind7,A,A1,A1B2,f,Bio,2601,2636,2575
ind8,A,A1,A1B2,m,Bio,2411,2360,2427
ind9,A,A2,A2B1,f,Conv,2658,2733,2705
ind10,A,A2,A2B1,m,Conv,2346,3249,2328
ind11,A,A2,A2B1,f,Conv,2867,2151,2763
ind12,A,A2,A2B1,m,Conv,2411,2442,2472
ind13,A,A2,A2B2,f,Conv,2459,2527,2526
ind14,A,A2,A2B2,m,Conv,2384,2204,2436
ind15,A,A2,A2B2,f,Conv,2592,2902,2632
ind16,A,A2,A2B2,m,Conv,2328,2435,2683
ind17,B,B3,B3B1,f,Bio,2394,2547,2673
ind18,B,B3,B3B1,m,Bio,2381,2618,2463
ind19,B,B3,B3B1,f,Bio,2554,2756,2719
ind20,B,B3,B3B1,m,Bio,2558,2587,2726
ind21,B,B3,B3B2,f,Bio,2741,2579,2799
ind22,B,B3,B3B2,m,Bio,2456,2526,2507
ind23,B,B3,B3B2,f,Bio,2447,2354,2451
ind24,B,B3,B3B2,m,Bio,2473,2499,2586
ind25,B,B4,B4B1,m,Conv,2495,2660,2573
ind26,B,B4,B4B2,m,Conv,2365,2339,2395
ind27,B,B4,B4B1,f,Conv,2569,2647,2647
ind28,B,B4,B4B2,m,Conv,2476,2476,2476
ind29,C,C5,C5B1,f,Bio,2322,2194,2467
ind30,C,C5,C5B1,m,Bio,2460,3097,2665
ind31,C,C5,C5B1,f,Bio,2621,2889,2754
ind32,C,C5,C5B1,m,Bio,2397,2420,2394
ind33,C,C5,C5B2,f,Bio,2736,2651,2734
ind34,C,C5,C5B2,m,Bio,2359,2342,2345
ind35,C,C5,C5B2,f,Bio,2698,2692,2743
ind36,C,C5,C5B2,m,Bio,2538,2452,2474
ind37,C,C6,C6B1,f,Conv,2742,2821,2807
ind38,C,C6,C6B2,m,Conv,2461,2757,2506
ind39,C,C6,C6B1,f,Conv,2676,2745,2363
ind40,C,C6,C6B2,m,Conv,2139,2171,2013
ind41,D,D7,D7B1,f,Bio,2563,2536,2444
ind42,D,D7,D7B1,m,Bio,2575,2640,2848
ind43,D,D7,D7B1,f,Bio,2611,2649,2803
ind44,D,D7,D7B1,m,Bio,2419,2542,2460
ind45,D,D7,D7B2,f,Bio,2440,2791,2441
ind46,D,D7,D7B2,m,Bio,2359,2679,2376
ind47,D,D7,D7B2,f,Bio,2236,2390,2364
ind48,D,D7,D7B2,m,Bio,2471,2667,2447
ind49,D,D8,D8B1,f,Conv,2654,2676,2773
ind50,D,D8,D8B1,m,Conv,2558,2588,2655
ind51,D,D8,D8B1,f,Conv,2581,2522,2592
ind52,D,D8,D8B1,m,Conv,2373,2468,2618
ind53,D,D8,D8B2,f,Conv,2507,2550,2582
ind54,D,D8,D8B2,m,Conv,2445,2489,2598
ind55,D,D8,D8B2,f,Conv,2773,2857,3126
ind56,D,D8,D8B2,m,Conv,2397,2376,2400
ind57,E,E9,E9B1,f,Bio,2522,2599,2531
ind58,E,E9,E9B1,m,Bio,2469,2373,2512
ind59,E,E9,E9B1,f,Bio,2676,2575,2548
ind60,E,E9,E9B1,m,Bio,2563,2422,2539
ind61,E,E9,E9B2,f,Bio,2513,2716,2595
ind62,E,E9,E9B2,m,Bio,2587,2565,2566
ind63,E,E9,E9B2,f,Bio,2554,2600,2726
ind64,E,E9,E9B2,m,Bio,2492,2309,2230
ind65,E,E10,E10B1,f,Conv,2365,2765,2367
ind66,E,E10,E10B1,m,Conv,1910,1298,3165
ind67,E,E10,E10B1,f,Conv,2644,2796,2609
ind68,E,E10,E10B1,m,Conv,2571,2602,2578
ind69,E,E10,E10B2,f,Conv,2549,2347,2647
ind70,E,E10,E10B2,m,Conv,2429,2441,2947
ind71,E,E10,E10B2,f,Conv,2464,2655,2231
