Name,GlobalParcelle,Parcelle,Barber,Sexe,BioConv,Mcentroid,Ecentroid
ind1,A,A1,A1B1,f,Bio,2557,2528
ind2,A,A1,A1B1,m,Bio,2432,2581
ind3,A,A1,A1B1,f,Bio,2127,0
ind4,A,A1,A1B1,m,Bio,2464,2470
ind5,A,A1,A1B2,f,Bio,2561,2766
ind6,A,A1,A1B2,m,Bio,2416,2648
ind7,A,A1,A1B2,f,Bio,2601,2411
ind8,A,A1,A1B2,m,Bio,2411,2273
ind9,A,A2,A2B1,f,Conv,2658,1935
ind10,A,A2,A2B1,m,Conv,2346,2597
ind11,A,A2,A2B1,f,Conv,2867,2869
ind12,A,A2,A2B1,m,Conv,2411,2613
ind13,A,A2,A2B2,f,Conv,2459,2918
ind14,A,A2,A2B2,m,Conv,2384,2518
ind15,A,A2,A2B2,f,Conv,2592,2156
ind16,A,A2,A2B2,m,Conv,2328,2338
ind17,B,B3,B3B1,f,Bio,2394,2668
ind18,B,B3,B3B1,m,Bio,2381,2890
ind19,B,B3,B3B1,f,Bio,2554,2443
ind20,B,B3,B3B1,m,Bio,2558,2758
ind21,B,B3,B3B2,f,Bio,2741,2572
ind22,B,B3,B3B2,m,Bio,2456,2638
ind23,B,B3,B3B2,f,Bio,2447,2517
ind24,B,B3,B3B2,m,Bio,2473,3077
ind25,B,B4,B4B1,m,Conv,2495,2425
ind26,B,B4,B4B2,m,Conv,2365,2352
ind27,B,B4,B4B1,f,Conv,2569,2928
ind28,B,B4,B4B2,m,Conv,2476,2854
ind29,C,C5,C5B1,f,Bio,2322,2312
ind30,C,C5,C5B1,m,Bio,2460,2430
ind31,C,C5,C5B1,f,Bio,2621,2717
ind32,C,C5,C5B1,m,Bio,2397,2890
ind33,C,C5,C5B2,f,Bio,2736,2239
ind34,C,C5,C5B2,m,Bio,2359,2830
ind35,C,C5,C5B2,f,Bio,2698,2635
ind36,C,C5,C5B2,m,Bio,2538,1796
ind37,C,C6,C6B1,f,Conv,2742,1701
ind38,C,C6,C6B2,m,Conv,2461,2841
ind39,C,C6,C6B1,f,Conv,2676,1980
ind40,C,C6,C6B2,m,Conv,2139,2378
ind41,D,D7,D7B1,f,Bio,2563,2590
ind42,D,D7,D7B1,m,Bio,2575,2931
ind43,D,D7,D7B1,f,Bio,2611,2376
ind44,D,D7,D7B1,m,Bio,2419,2884
ind45,D,D7,D7B2,f,Bio,2440,2488
ind46,D,D7,D7B2,m,Bio,2359,2300
ind47,D,D7,D7B2,f,Bio,2236,2593
ind48,D,D7,D7B2,m,Bio,2471,2306
ind49,D,D8,D8B1,f,Conv,2654,2441
ind50,D,D8,D8B1,m,Conv,2558,2452
ind51,D,D8,D8B1,f,Conv,2581,2345
ind52,D,D8,D8B1,m,Conv,2373,2975
ind53,D,D8,D8B2,f,Conv,2507,3212
ind54,D,D8,D8B2,m,Conv,2445,2722
ind55,D,D8,D8B2,f,Conv,2773,2568
ind56,D,D8,D8B2,m,Conv,2397,2756
ind57,E,E9,E9B1,f,Bio,2522,2780
ind58,E,E9,E9B1,m,Bio,2469,2371
ind59,E,E9,E9B1,f,Bio,2676,2774
ind60,E,E9,E9B1,m,Bio,2563,2570
ind61,E,E9,E9B2,f,Bio,2513,2561
ind62,E,E9,E9B2,m,Bio,2587,2550
ind63,E,E9,E9B2,f,Bio,2554,2707
ind64,E,E9,E9B2,m,Bio,2492,2214
ind65,E,E10,E10B1,f,Conv,2365,2957
ind66,E,E10,E10B1,m,Conv,1910,3074
ind67,E,E10,E10B1,f,Conv,2644,3199
