Name,GlobalParcelle,Parcelle,Barber,Sexe,BioConv,Mcentroid,Ecentroid
ind1,A,A1,A1B1,f,Bio,2557,2558
ind2,A,A1,A1B1,m,Bio,2432,2461
ind3,A,A1,A1B1,f,Bio,2127,0
ind4,A,A1,A1B1,m,Bio,2464,2406
ind5,A,A1,A1B2,f,Bio,2561,2651
ind6,A,A1,A1B2,m,Bio,2416,2406
ind7,A,A1,A1B2,f,Bio,2601,2636
ind8,A,A1,A1B2,m,Bio,2411,2360
ind9,A,A2,A2B1,f,Conv,2658,2733
ind10,A,A2,A2B1,m,Conv,2346,3249
ind11,A,A2,A2B1,f,Conv,2867,2151
ind12,A,A2,A2B1,m,Conv,2411,2442
ind13,A,A2,A2B2,f,Conv,2459,2527
ind14,A,A2,A2B2,m,Conv,2384,2204
ind15,A,A2,A2B2,f,Conv,2592,2902
ind16,A,A2,A2B2,m,Conv,2328,2435
ind17,B,B3,B3B1,f,Bio,2394,2547
ind18,B,B3,B3B1,m,Bio,2381,2618
ind19,B,B3,B3B1,f,Bio,2554,2756
ind20,B,B3,B3B1,m,Bio,2558,2587
ind21,B,B3,B3B2,f,Bio,2741,2579
ind22,B,B3,B3B2,m,Bio,2456,2526
ind23,B,B3,B3B2,f,Bio,2447,2354
ind24,B,B3,B3B2,m,Bio,2473,2499
ind25,B,B4,B4B1,m,Conv,2495,2660
ind26,B,B4,B4B2,m,Conv,2365,2339
ind27,B,B4,B4B1,f,Conv,2569,2647
ind28,B,B4,B4B2,m,Conv,2476,2476
ind29,C,C5,C5B1,f,Bio,2322,2194
ind30,C,C5,C5B1,m,Bio,2460,3097
ind31,C,C5,C5B1,f,Bio,2621,2889
ind32,C,C5,C5B1,m,Bio,2397,2420
ind33,C,C5,C5B2,f,Bio,2736,2651
ind34,C,C5,C5B2,m,Bio,2359,2342
ind35,C,C5,C5B2,f,Bio,2698,2692
ind36,C,C5,C5B2,m,Bio,2538,2452
ind37,C,C6,C6B1,f,Conv,2742,2821
ind38,C,C6,C6B2,m,Conv,2461,2757
ind39,C,C6,C6B1,f,Conv,2676,2745
ind40,C,C6,C6B2,m,Conv,2139,2171
ind41,D,D7,D7B1,f,Bio,2563,2536
ind42,D,D7,D7B1,m,Bio,2575,2640
ind43,D,D7,D7B1,f,Bio,2611,2649
ind44,D,D7,D7B1,m,Bio,2419,2542
ind45,D,D7,D7B2,f,Bio,2440,2791
ind46,D,D7,D7B2,m,Bio,2359,2679
ind47,D,D7,D7B2,f,Bio,2236,2390
ind48,D,D7,D7B2,m,Bio,2471,2667
ind49,D,D8,D8B1,f,Conv,2654,2676
ind50,D,D8,D8B1,m,Conv,2558,2588
ind51,D,D8,D8B1,f,Conv,2581,2522
ind52,D,D8,D8B1,m,Conv,2373,2468
